"ticker","word","n","tf","idf","tf_idf"
"11B","vault",1,0.000125596583772921,4.07753744390572,0.000512124773160728
"11B","wielowątkowy",1,0.000125596583772921,4.07753744390572,0.000512124773160728
"11B","wishlisty",1,0.000125596583772921,4.07753744390572,0.000512124773160728
"11B","zagłada",1,0.000125596583772921,4.07753744390572,0.000512124773160728
"11B","zwyczajnie",1,0.000125596583772921,4.07753744390572,0.000512124773160728
"11B","zespół",15,0.00188394875659382,0.2708749541354,0.000510314533035794
"11B","sztuczny",6,0.000753579502637528,0.676340062243564,0.00050967600771934
"11B","blockchaina",2,0.000251193167545843,1.99809590222588,0.000501908038740488
"11B","franczyza",2,0.000251193167545843,1.99809590222588,0.000501908038740488
"11B","graczeć",2,0.000251193167545843,1.99809590222588,0.000501908038740488
"11B","hous",2,0.000251193167545843,1.99809590222588,0.000501908038740488
"11B","netfliksa",2,0.000251193167545843,1.99809590222588,0.000501908038740488
"11B","niebędący",2,0.000251193167545843,1.99809590222588,0.000501908038740488
"11B","okienko",2,0.000251193167545843,1.99809590222588,0.000501908038740488
"11B","poniesienie",2,0.000251193167545843,1.99809590222588,0.000501908038740488
"11B","giełda",16,0.00200954534036674,0.248896047416624,0.000500167892321777
"11B","mssf",4,0.000502386335091685,0.986494990547404,0.000495601602887417
"11B","śledzić",4,0.000502386335091685,0.986494990547404,0.000495601602887417
"11B","bufor",3,0.000376789751318764,1.30494872166594,0.000491691304320248
"11B","and",7,0.00087917608641045,0.551176919289558,0.000484581566820762
"11B","podatkowy",4,0.000502386335091685,0.94204322797657,0.00047326964480109
"11B","popularny",4,0.000502386335091685,0.94204322797657,0.00047326964480109
"11B","czerpać",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","debiucie",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","dopracować",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","frey",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","juny",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","kompensować",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","kopia",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","odstęp",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","poniższy",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","przystępny",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","rockbridgy",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","two",2,0.000251193167545843,1.8803128665695,0.000472321744930796
"11B","odchodzić",3,0.000376789751318764,1.2443240998495,0.000468848568142239
"11B","przeliczyć",3,0.000376789751318764,1.2443240998495,0.000468848568142239
"11B","zagadnienie",3,0.000376789751318764,1.2443240998495,0.000468848568142239
"11B","dotąd",5,0.000627982918864607,0.745332933730516,0.00046805635125001
"11B","maklerski",9,0.00113036925395629,0.413975797776073,0.000467945513688101
"11B","analityk",53,0.00665661893996483,0.0702042586732486,0.000467322997950537
"11B","cykl",6,0.000753579502637528,0.611801541105993,0.000461041101059527
"11B","boś",7,0.00087917608641045,0.522189382416306,0.000459096417597857
"11B","wydać",22,0.00276312484300427,0.165514438477573,0.000457337056833285
"11B","finalnie",3,0.000376789751318764,1.18716568600955,0.00044731186360571
"11B","nazwać",3,0.000376789751318764,1.18716568600955,0.00044731186360571
"11B","pismo",3,0.000376789751318764,1.18716568600955,0.00044731186360571
"11B","subskrypcyjny",3,0.000376789751318764,1.18716568600955,0.00044731186360571
"11B","niepubliczny",2,0.000251193167545843,1.77495235091167,0.000445855903268444
"11B","odczytywać",2,0.000251193167545843,1.77495235091167,0.000445855903268444
"11B","ratunkowy",2,0.000251193167545843,1.77495235091167,0.000445855903268444
"11B","skandynawski",2,0.000251193167545843,1.77495235091167,0.000445855903268444
"11B","video",2,0.000251193167545843,1.77495235091167,0.000445855903268444
"11B","wideo",2,0.000251193167545843,1.77495235091167,0.000445855903268444
"11B","konsensus",21,0.00263752825923135,0.165514438477573,0.000436549008795408
"11B","farm",4,0.000502386335091685,0.858661619037519,0.000431379863872152
"11B","zaraportować",4,0.000502386335091685,0.858661619037519,0.000431379863872152
"11B","dokładny",3,0.000376789751318764,1.13309846473928,0.000426939888748786
"11B","kontrolny",3,0.000376789751318764,1.13309846473928,0.000426939888748786
"11B","nadejść",3,0.000376789751318764,1.13309846473928,0.000426939888748786
"11B","wyprzedzić",3,0.000376789751318764,1.13309846473928,0.000426939888748786
"11B","zbierać",3,0.000376789751318764,1.13309846473928,0.000426939888748786
"11B","access",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","balans",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","bitwa",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","disclosury",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","earla",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","hereto",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","initiativy",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","ios",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","kalkulować",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","koncepeć",1,0.000125596583772921,3.38439026334577,0.000425067855230567
