"article_id","topic","gamma"
"008ce6ee8efdc230c450eacf91472ec8",5,0.0516219709603674
"008e7c69e298606b74bb0d1e90a1dc44",1,0.97291493592938
"008e7c69e298606b74bb0d1e90a1dc44",2,0.000428157727596993
"008e7c69e298606b74bb0d1e90a1dc44",3,0.000428281773022305
"008e7c69e298606b74bb0d1e90a1dc44",4,0.00042813254614056
"008e7c69e298606b74bb0d1e90a1dc44",5,0.0258004920238599
"008f6beecd5f67d6f4fdd356855fb2da",1,0.13006686043217
"008f6beecd5f67d6f4fdd356855fb2da",2,0.536292605767982
"008f6beecd5f67d6f4fdd356855fb2da",3,0.000258681094210667
"008f6beecd5f67d6f4fdd356855fb2da",4,0.333123201927285
"008f6beecd5f67d6f4fdd356855fb2da",5,0.000258650778351205
"0091ec92c48c7bc7544df0b099e3f516",1,0.00170916691836263
"0091ec92c48c7bc7544df0b099e3f516",2,0.233708763034817
"0091ec92c48c7bc7544df0b099e3f516",3,0.00170879464333246
"0091ec92c48c7bc7544df0b099e3f516",4,0.0017091658599654
"0091ec92c48c7bc7544df0b099e3f516",5,0.761164109543523
"0097990a4f4d4ab9db09f4e137065e17",1,0.707258604726908
"0097990a4f4d4ab9db09f4e137065e17",2,0.157435998276393
"0097990a4f4d4ab9db09f4e137065e17",3,0.000372359041527349
"0097990a4f4d4ab9db09f4e137065e17",4,0.134560668167201
"0097990a4f4d4ab9db09f4e137065e17",5,0.000372369787971067
"00af1dae8572d8d341880705bc32e0f5",1,0.258860846633661
"00af1dae8572d8d341880705bc32e0f5",2,0.197312733344623
"00af1dae8572d8d341880705bc32e0f5",3,0.000754509098733556
"00af1dae8572d8d341880705bc32e0f5",4,0.425945427192694
"00af1dae8572d8d341880705bc32e0f5",5,0.117126483730289
"00b0680fc2e289d88ade8ebd4f52ae6f",1,0.717649628363877
"00b0680fc2e289d88ade8ebd4f52ae6f",2,0.00281619889604095
"00b0680fc2e289d88ade8ebd4f52ae6f",3,0.00281573425217227
"00b0680fc2e289d88ade8ebd4f52ae6f",4,0.00281647710048838
"00b0680fc2e289d88ade8ebd4f52ae6f",5,0.273901961387421
"00c935f1e20a5f029f5bfed6cf2673b6",1,0.000888592446624641
"00c935f1e20a5f029f5bfed6cf2673b6",2,0.000888535444591909
"00c935f1e20a5f029f5bfed6cf2673b6",3,0.996445684645661
"00c935f1e20a5f029f5bfed6cf2673b6",4,0.000888527012674458
"00c935f1e20a5f029f5bfed6cf2673b6",5,0.000888660450448501
"00c9e08ffcbe9effdf86a2f22d18fc6f",1,0.403908179668331
"00c9e08ffcbe9effdf86a2f22d18fc6f",2,0.0611180953258836
"00c9e08ffcbe9effdf86a2f22d18fc6f",3,0.000956740905028077
"00c9e08ffcbe9effdf86a2f22d18fc6f",4,0.000956709852151396
"00c9e08ffcbe9effdf86a2f22d18fc6f",5,0.533060274248606
"00d35c5ae1651dc7feec46d77398f7bf",1,0.727469984578648
"00d35c5ae1651dc7feec46d77398f7bf",2,0.235693729451604
"00d35c5ae1651dc7feec46d77398f7bf",3,0.000297978749943353
"00d35c5ae1651dc7feec46d77398f7bf",4,0.00029801517334901
"00d35c5ae1651dc7feec46d77398f7bf",5,0.036240292046456
"00d3e993115ce054b67ad7f0fdeec3ee",1,0.547312023005442
"00d3e993115ce054b67ad7f0fdeec3ee",2,0.0884258832109073
"00d3e993115ce054b67ad7f0fdeec3ee",3,0.00475738222259746
"00d3e993115ce054b67ad7f0fdeec3ee",4,0.338251754735952
"00d3e993115ce054b67ad7f0fdeec3ee",5,0.0212529568251007
"00dcff0be1563b5b35569bb5a48a09cf",1,0.0968416656601003
"00dcff0be1563b5b35569bb5a48a09cf",2,0.494011223297991
"00dcff0be1563b5b35569bb5a48a09cf",3,0.000626780893533409
"00dcff0be1563b5b35569bb5a48a09cf",4,0.000626787249453051
"00dcff0be1563b5b35569bb5a48a09cf",5,0.407893542898922
"00e83c85cf458619ff0bebf85ad63644",1,0.878659967231387
"00e83c85cf458619ff0bebf85ad63644",2,0.000682387611307555
"00e83c85cf458619ff0bebf85ad63644",3,0.000682388652377816
"00e83c85cf458619ff0bebf85ad63644",4,0.119292808858812
"00e83c85cf458619ff0bebf85ad63644",5,0.000682447646115265
"00e876c496fde5eb4dedc2751e8db159",1,0.000721755656092795
"00e876c496fde5eb4dedc2751e8db159",2,0.602040805873763
"00e876c496fde5eb4dedc2751e8db159",3,0.000721822115810259
"00e876c496fde5eb4dedc2751e8db159",4,0.000721759961198807
"00e876c496fde5eb4dedc2751e8db159",5,0.395793856393135
"00ebd99cbfa1e2785bfc71a426191bc5",1,0.000459705547828928
"00ebd99cbfa1e2785bfc71a426191bc5",2,0.0540892981466881
"00ebd99cbfa1e2785bfc71a426191bc5",3,0.000459809922796521
"00ebd99cbfa1e2785bfc71a426191bc5",4,0.944531486772291
"00ebd99cbfa1e2785bfc71a426191bc5",5,0.000459699610395744
"00f0ca6b74aa48fea82e92b3e71984bb",1,0.0647308254340202
"00f0ca6b74aa48fea82e92b3e71984bb",2,0.810291066756199
"00f0ca6b74aa48fea82e92b3e71984bb",3,0.000647125377353917
"00f0ca6b74aa48fea82e92b3e71984bb",4,0.123683913413869
"00f0ca6b74aa48fea82e92b3e71984bb",5,0.000647069018557334
"00f0df615c08e23dff186658cfd1f9d8",1,0.784738921912994
"00f0df615c08e23dff186658cfd1f9d8",2,0.133835242170549
"00f0df615c08e23dff186658cfd1f9d8",3,0.00108071447605381
"00f0df615c08e23dff186658cfd1f9d8",4,0.0792642675147519
"00f0df615c08e23dff186658cfd1f9d8",5,0.00108085392565102
"00f84a10b3f51c4fb7c17861e5d806c8",1,0.680694808657699
"00f84a10b3f51c4fb7c17861e5d806c8",2,0.00194137509989373
"00f84a10b3f51c4fb7c17861e5d806c8",3,0.00194120370651429
"00f84a10b3f51c4fb7c17861e5d806c8",4,0.313481283303724
"00f84a10b3f51c4fb7c17861e5d806c8",5,0.00194132923216875
"00fdce17c7b063f586625ef1466bac41",1,0.868726671693129
"00fdce17c7b063f586625ef1466bac41",2,0.129009822885267
"00fdce17c7b063f586625ef1466bac41",3,0.00075452202650648
"00fdce17c7b063f586625ef1466bac41",4,0.000754494508011924
"00fdce17c7b063f586625ef1466bac41",5,0.000754488887085557
"0102899d90cf779b128bbc04ad306bbd",1,0.739733223121256
"0102899d90cf779b128bbc04ad306bbd",2,0.191488196102841
"0102899d90cf779b128bbc04ad306bbd",3,0.0100520430783373
"0102899d90cf779b128bbc04ad306bbd",4,0.000437501433015183
"0102899d90cf779b128bbc04ad306bbd",5,0.0582890362645504
"0138182580fbe0b60951ce44af6f8ad5",1,0.000701642016778666
"0138182580fbe0b60951ce44af6f8ad5",2,0.675321577131359
"0138182580fbe0b60951ce44af6f8ad5",3,0.000701479585088677
"0138182580fbe0b60951ce44af6f8ad5",4,0.322573757761419
"0138182580fbe0b60951ce44af6f8ad5",5,0.000701543505354633
"014429e6bd65bdcf2e360417015561fe",1,0.0461947467984764
"014429e6bd65bdcf2e360417015561fe",2,0.000508833484479202
"014429e6bd65bdcf2e360417015561fe",3,0.000508788886399553
"014429e6bd65bdcf2e360417015561fe",4,0.892776908022152
"014429e6bd65bdcf2e360417015561fe",5,0.0600107228084932
"0148763816bbf06e8f85c87cbe05b848",1,0.27480810870293
"0148763816bbf06e8f85c87cbe05b848",2,0.632902216069447
"0148763816bbf06e8f85c87cbe05b848",3,0.0451557480398835
"0148763816bbf06e8f85c87cbe05b848",4,0.000443393263632899
"0148763816bbf06e8f85c87cbe05b848",5,0.0466905339241074
"016f6783804730ac1bf560ea90c076d2",1,0.00202029693818857
"016f6783804730ac1bf560ea90c076d2",2,0.00202025497147398
"016f6783804730ac1bf560ea90c076d2",3,0.00201960276225758
"016f6783804730ac1bf560ea90c076d2",4,0.00202050746508664
"016f6783804730ac1bf560ea90c076d2",5,0.991919337862993
"016fd79d4a3cc35d33bf442b0a4fd4c0",1,0.000426374588218835
"016fd79d4a3cc35d33bf442b0a4fd4c0",2,0.00042633620006772
"016fd79d4a3cc35d33bf442b0a4fd4c0",3,0.591915745839195
"016fd79d4a3cc35d33bf442b0a4fd4c0",4,0.000426311035743655
"016fd79d4a3cc35d33bf442b0a4fd4c0",5,0.406805232336775
"017577911748fee2f0c3a9670a4ded42",1,0.000451350114683758
"017577911748fee2f0c3a9670a4ded42",2,0.660900163283557
"017577911748fee2f0c3a9670a4ded42",3,0.000451382102317888
"017577911748fee2f0c3a9670a4ded42",4,0.337745743391394
"017577911748fee2f0c3a9670a4ded42",5,0.000451361108047539
"01795971e1b06ec7f2cab70707f3f2d8",1,0.798159827169953
"01795971e1b06ec7f2cab70707f3f2d8",2,0.20009391728108
"01795971e1b06ec7f2cab70707f3f2d8",3,0.00150974628930262
"01795971e1b06ec7f2cab70707f3f2d8",4,0.00011825902172127
"01795971e1b06ec7f2cab70707f3f2d8",5,0.000118250237943601
"017d055a44d1b8919a19226085c0e02e",1,0.408784613656822
"017d055a44d1b8919a19226085c0e02e",2,0.000579583888987831
"017d055a44d1b8919a19226085c0e02e",3,0.000579529078408834
"017d055a44d1b8919a19226085c0e02e",4,0.589476691460337
"017d055a44d1b8919a19226085c0e02e",5,0.000579581915444075
"01810370b8eaf1ae84e8975d45888f41",1,0.0018687053974485
"01810370b8eaf1ae84e8975d45888f41",2,0.0362095774592892
"01810370b8eaf1ae84e8975d45888f41",3,0.0579234258104763
"01810370b8eaf1ae84e8975d45888f41",4,0.00186858286535869
"01810370b8eaf1ae84e8975d45888f41",5,0.902129708467427
"019f352b5734e6999a0db64789c774b4",1,0.408965387168897
"019f352b5734e6999a0db64789c774b4",2,0.479421943225015
"019f352b5734e6999a0db64789c774b4",3,0.0123214020963993
"019f352b5734e6999a0db64789c774b4",4,0.099057938493668
"019f352b5734e6999a0db64789c774b4",5,0.000233329016020423
"01a9fefea488d694e6846f766af738eb",1,0.498627883334879
